original_column_name,column_name,column_description,data_format,value_description
date,,"transaction date
",date,
coin_id,,id number referring to coins,integer,
cmc_rank,coinmarketcap rank,CMC rank is a metric used by CoinMarketCap to rank the relative popularity of different cryptocurrencies.,integer,
market_cap,Market capitalization,Market capitalization refers to how much a coin is worth as determined by the coin market.,real,"dollars
market cap (latest trade price x circulating supply)."
price,,how much is a coin,real,dollars
open,,the price at which a cryptocurrency (coin) opens at a time period,real,"dollars
commonsense reasoning:
if null or empty, it means this coins has not opened yet today."
high,,highest price,real,dollars
low,,lowest price,real,"commonsense reasoning:
1.	It's the best time to purchase this coin
2.	users can make the max profit today by computation: high - low"
close,,"the price at which a cryptocurrency (coin) closes at a time period, for example at the end of the day.",real,
time_high,,the time to achieve highest price,text,
time_low,,the time to achieve lowest price,text,
volume_24h,,the total value of cryptocurrency coined traded in the past 24 hours.,real,
percent_change_1h,percent change 1h,price percentage change in the first hour,real,The change is the difference (in percent) between the price now compared to the price around this time 1 hours ago
percent_change_24h,percent change 24h,price percentage change in the first 24 hours,real,The change is the difference (in percent) between the price now compared to the price around this time 24 hours ago
percent_change_7d,percent change 7d,price percentage change in the first 7 days,real,The change is the difference (in percent) between the price now compared to the price around this time 7 days ago
circulating_supply,circulating supply,the best approximation of the number of coins that are circulating in the market and in the general public's hands.,real,
total_supply,total supply ,the total amount of coins in existence right now,real,
max_supply,max supply,Max Supply is the best approximation of the maximum amount of coins that will ever exist in the lifetime of the cryptocurrency.,real,"commonsense reasoning:
the number of coins verifiably burned so far = max_supply - total_supply"
num_market_pairs,number market pairs,number of market pairs across all exchanges trading each currency.,integer,"commonsense reasoning:
active coins that have gone inactive can easily be identified as having a num_market_pairs of 0"
