original_column_name,column_name,column_description,data_format,value_description
year,,year,integer,
lgID,league ID,league ID number,text,
tmID,team ID,team ID,text,
hW,home wins,home wins,integer,
hL,home loses,home loses,integer,
hT,home ties,home ties,integer,
hOTL,Home overtime losses,Home overtime losses,text,
rW,Road wins,Road wins,integer,
rL,Road loses,Road loses,integer,
rT,Road ties,Road ties,integer,
rOTL,road overtime loses,road overtime loses,text,
SepW,September wins,September wins,text,
SepL,September loses,September loses,text,
SepT,September ties,September ties,text,
SepOL,September overtime loses,September overtime loses,text,
OctW,October wins,October wins,text,
OctL,October loses,October loses,text,
OctT,October ties,October ties,text,
OctOL,October overtime loses,October overtime loses,text,
NovW,November wins,November wins,text,
NovL,November loses,November loses,text,
NovT,November ties,November ties,text,
NovOL,November overtime loses,November overtime loses,text,
DecW,December wins,December wins,text,
DecL,December loses,December loses,text,
DecT,December ties,December ties,text,
DecOL,December overtime loses,December overtime loses,text,
JanW,January wins,January wins,integer,
JanL,January loses,January loses,integer,
JanT,January ties,January ties,integer,
JanOL,January overtime loses,January overtime loses,text,
FebW,February wins,February wins,integer,
FebL,February loses,February loses,integer,
FebT,February ties,February ties,integer,
FebOL,February overtime loses,February overtime loses,text,
MarW,March wins,March wins,text,
MarL,March loses,March loses,text,
MarT,March ties,March ties,text,
MarOL,March overtime loses,March overtime loses,text,
AprW,April wins,April wins,text,
AprL,April loses,April loses,text,
AprT,April ties,April ties,text,
AprOL,April overtime loses,April overtime loses,text,
