original_column_name,column_name,column_description,data_format,value_description
year,,year,integer,
lgID,league ID,league ID number,text,
tmID,team ID,team ID,text,
G,Games,Games,integer,
W,wins,wins,integer,
L,loses,loses,integer,
T,ties,ties,integer,
GF,goals for,goals for,integer,
GA,goals against,goals against,integer,
PIM,penalty minutes,penalty minutes,text,
BenchMinor,Bench minors (minutes),Bench minors (minutes),text,
PPG,Power play goals,Power play goals,text,
PPC,Power play chances,Power play chances,text,
SHA,Shorthanded goals against,Shorthanded goals against,text,
PKG,Power play goals against,Power play goals against,text,
PKC,Penalty kill chances,Penalty kill chances,text,
SHF,Shorthanded goals for,Shorthanded goals for,text,
