original_column_name,column_name,column_description,data_format,value_description
ELITEID,ELITE ID,the unique number identifying the players who attended the draft,integer,
PlayerName,Player Name,the name of the player,text,
birthdate,,the birthdate of the player,text,
birthyear,,the birth year of the player,date,
birthmonth,,the birth month of the player,integer,
birthday,,the birthday of the player,integer,
birthplace,,the player of the birthplace,text,
nation,,the nation of the player,text,"commonsense evidence: can ask questions about their corresponding continents. or group nations with their continents. You can refer to https://worldpopulationreview.com/country-rankings/list-of-countries-by-continent
e.g.: Slovakia --> Europe"
height,,the id number identifying heights,integer,
weight,,the id number identifying weights,integer,
position_info,position information,position information of the player,text,"commonsense evidence: There are six different positions in hockey: 
left wing,  
right wing,  
center,  
left defenseman, 
right defenseman 
goalie. 
Left wings, right wings, and centers are all considered forwards, while left and right defensemen are considered the defense."
shoots,,,text,"commonsense evidence: 
 L: Left-shooted 
 R: Right-shooted 
 '-': no preference"
draftyear,draft year,draft year,integer,
draftround,draft round,draft round,integer,
overall,,overall orders of draft picks,integer,
overallby,,drafted by which team,text,
CSS_rank,Central Scouting Service ranking,Central Scouting Service ranking,integer,commonsense evidence: higher rank refers to higher prospects for the draft
sum_7yr_GP,sum 7-year game plays,Total NHL games played in players first 7 years of NHL career,integer,commonsense evidence: higher --> more attendance in the first 7 years
sum_7yr_TOI,sum 7-year time on ice,Total NHL Time on Ice in players first 7 years of NHL career,integer,commonsense evidence: higher --> more playing time in the first 7 years of career
GP_greater_than_0,game play greater than 0,Played a game or not in players first 7 years of NHL career,text," yes 
 no"
