original_column_name,column_name,column_description,data_format,value_description
user_id,,ID related to the user who created the list.,integer,
list_id,,ID of the list on Mubi,integer,
list_title,,Name of the list,text,
list_movie_number,,Number of movies added to the list,integer,
list_update_timestamp_utc,,Last update timestamp for the list,text,
list_creation_timestamp_utc,,Creation timestamp for the list,text,
list_followers,,Number of followers on the list,integer,
list_url,,URL to the list page on Mubi,text,
list_comments,,Number of comments on the list,integer,
list_description,,List description made by the user,text,
list_cover_image_url,,,,
list_first_image_url,,,,
list_second_image_url,,,,
list_third_image_url,,,,
