original_column_name,column_name,column_description,data_format,value_description
BusinessEntityID,Business Entity ID,The unique id number identifying the person.,integer,
PersonType,Person Type,The type of person.,text,"Primary type of person: SC = Store Contact, IN = Individual (retail) customer, SP = Sales person, EM = Employee (non-sales), VC = Vendor contact, GC = General contact"
NameStyle,Name Style,Name Style.,integer,"0 = The data in FirstName and LastName are stored in western style (first name, last name) order. 1 = Eastern style (last name, first name) order. Default: 0"
Title,,A courtesy title.,text,
FirstName,First Name,First name of the person.,text,Default: getdate()
MiddleName,Middle Name,Middle name or middle initial of the person.,text,
LastName,Last Name,Last name of the person.,text,
Suffix,,Surname suffix.,text,
EmailPromotion,Email Promotion,Email Promotion.,integer,"0 = Contact does not wish to receive e-mail promotions, 1 = Contact does wish to receive e-mail promotions from AdventureWorks, 2 = Contact does wish to receive e-mail promotions from AdventureWorks and selected partners. Default: 0"
AdditionalContactInfo,Additional Contact Info,Additional contact information about the person stored in xml format.,text,
Demographics,,"Personal information such as hobbies, and income collected from online shoppers. Used for sales analysis.",text,
rowguid,rowguid,Uniquely identifying the record. Used to support a merge replication sample. ,text,Default: newid()
ModifiedDate,modified date,Date and time the record was last updated. ,datetime,Default: getdate()
