original_column_name,column_name,column_description,data_format,value_description
SalesOrderID,Sales Order ID,The id number of sales order.,integer,
RevisionNumber,,,integer,
OrderDate,Order Date,,datetime,
DueDate,,,datetime,
ShipDate,Ship Date,Estimated shipment date from the vendor,datetime,
Status,Status,Order current status,integer,1 = Pending; 2 = Approved; 3 = Rejected; 4 = Complete Default: 1
OnlineOrderFlag,,,integer,
SalesOrderNumber,,,text,
PurchaseOrderNumber,,,text,
AccountNumber,,,text,
CustomerID,,,integer,
SalesPersonID,,,integer,
TerritoryID,,,integer,
BillToAddressID,,,integer,
ShipToAddressID,,,integer,
ShipMethodID,Ship Method ID,Shipping method,integer,
CreditCardID,,,integer,
CreditCardApprovalCode,,,text,
CurrencyRateID,,,integer,
SubTotal,,,real,
TaxAmt,Tax Amount,Tax amount,real,
Freight,Freight,Shipping cost,real,
TotalDue,Total Due,Total due to vendor,real,
Comment,,,text,
rowguid,,,text,
ModifiedDate,modified date,Date and time the record was last updated. ,datetime,Default: getdate()
