original_column_name,column_name,column_description,data_format,value_description
SeriesCode,Series Code,unique code identifying series,text,
Topic,,topic of series,text,
IndicatorName,Indicator Name,Indicator Name,text,
ShortDefinition,Short Definition,Short Definition of series,text,
LongDefinition,Long Definition,Long Definition of series ,text,
UnitOfMeasure,Unit Of Measure,Unit Of Measure,text,
Periodicity,Periodicity,Periodicity,text,
BasePeriod,Base Period,"a period of business or economic activity used as a basis or reference point especially for indexing, calculating, estimating, or adjudicating prices, taxes, compensation, income, and production",text,
OtherNotes,Other Notes,Other Notes,integer,
AggregationMethod,Aggregation Method,Aggregation Method,text,
LimitationsAndExceptions,Limitations And Exceptions,Limitations And Exceptions,text,
NotesFromOriginalSource,Notes From Original Source,Notes From Original Source,text,
GeneralComments,General Comments,General Comments,text,
Source,Source,source of this data,text,
StatisticalConceptAndMethodology,Statistical Concept And Methodology,Statistical Concept And Methodology,text,
DevelopmentRelevance,Development Relevance,Development Relevance,text,
RelatedSourceLinks,Related Source Links,Related Source Links,text,
OtherWebLinks,Other Web Links,Other Web Links,integer,
RelatedIndicators,Related Indicators,Related Indicators,integer,
LicenseType,License Type,License Type,text,
